fiscal_year,region_psgc,region_code,nccap_theme,tagged_budget_php_m,adaptation_share_pct,source_system,data_status
2022,PH090000000,IX,Food Security,247.01,84.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Ecosystem & Environmental Stability,148.4,85.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Human Security,125.78,60.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Sustainable Energy,183.87,47.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Climate-Smart Industries and Services,101.51,64.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Knowledge & Capacity Development,44.84,77.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Cross-Cutting,26.16,82.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Water Sufficiency,331.31,68.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Food Security,218.1,57.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Ecosystem & Environmental Stability,253.34,74.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Human Security,198.86,76.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Sustainable Energy,221.97,20.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Climate-Smart Industries and Services,122.57,70.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Knowledge & Capacity Development,49.46,61.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH100000000,X,Cross-Cutting,32.31,75.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Water Sufficiency,279.32,60.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Food Security,348.75,67.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Ecosystem & Environmental Stability,241.26,88.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Human Security,156.31,56.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Sustainable Energy,242.15,32.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Climate-Smart Industries and Services,98.24,87.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Knowledge & Capacity Development,52.88,70.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH110000000,XI,Cross-Cutting,40.47,75.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Water Sufficiency,331.9,68.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Food Security,305.26,71.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Ecosystem & Environmental Stability,218.4,70.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Human Security,200.95,56.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Sustainable Energy,195.52,47.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Climate-Smart Industries and Services,87.83,58.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Knowledge & Capacity Development,55.52,57.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH120000000,XII,Cross-Cutting,38.81,57.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Water Sufficiency,176.66,56.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Food Security,210.78,86.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Ecosystem & Environmental Stability,178.2,60.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Human Security,120.97,59.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Sustainable Energy,120.85,25.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Climate-Smart Industries and Services,66.57,68.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Knowledge & Capacity Development,36.69,89.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH160000000,XIII,Cross-Cutting,20.37,78.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Water Sufficiency,311.61,81.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Food Security,310.15,66.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Ecosystem & Environmental Stability,214.98,70.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Human Security,171.31,74.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Sustainable Energy,171.59,42.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Climate-Smart Industries and Services,91.79,76.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Knowledge & Capacity Development,42.95,56.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH190000000,BARMM,Cross-Cutting,39.54,72.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Water Sufficiency,836.78,68.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Food Security,673.0,79.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Ecosystem & Environmental Stability,447.23,82.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Human Security,311.36,83.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Sustainable Energy,398.76,35.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Climate-Smart Industries and Services,239.45,66.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Knowledge & Capacity Development,172.09,56.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH130000000,NCR,Cross-Cutting,87.36,65.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Water Sufficiency,146.9,89.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Food Security,175.87,64.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Ecosystem & Environmental Stability,132.11,60.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Human Security,66.17,89.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Sustainable Energy,119.84,38.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Climate-Smart Industries and Services,46.82,83.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Knowledge & Capacity Development,25.33,66.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH140000000,CAR,Cross-Cutting,22.13,69.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Water Sufficiency,422.36,87.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Food Security,299.78,58.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Ecosystem & Environmental Stability,197.5,65.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Human Security,210.83,63.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Sustainable Energy,251.53,43.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Climate-Smart Industries and Services,113.41,89.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Knowledge & Capacity Development,71.87,64.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH010000000,I,Cross-Cutting,51.58,58.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Water Sufficiency,318.46,57.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Food Security,279.3,59.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Ecosystem & Environmental Stability,152.35,89.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Human Security,118.25,70.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Sustainable Energy,176.12,48.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Climate-Smart Industries and Services,90.99,88.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Knowledge & Capacity Development,62.7,66.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH020000000,II,Cross-Cutting,39.37,62.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Water Sufficiency,953.42,74.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Food Security,574.26,56.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Ecosystem & Environmental Stability,485.72,78.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Human Security,304.17,76.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Sustainable Energy,492.54,31.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Climate-Smart Industries and Services,185.14,75.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Knowledge & Capacity Development,175.34,72.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH030000000,III,Cross-Cutting,71.77,73.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Water Sufficiency,958.29,88.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Food Security,675.46,87.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Ecosystem & Environmental Stability,607.85,56.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Human Security,590.93,69.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Sustainable Energy,622.37,24.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Climate-Smart Industries and Services,237.37,66.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Knowledge & Capacity Development,185.53,67.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH040000000,IV-A,Cross-Cutting,103.26,80.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Water Sufficiency,259.95,76.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Food Security,184.57,74.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Ecosystem & Environmental Stability,189.68,79.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Human Security,136.83,64.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Sustainable Energy,112.33,23.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Climate-Smart Industries and Services,72.25,73.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Knowledge & Capacity Development,39.29,64.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH170000000,MIMAROPA,Cross-Cutting,30.36,83.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Water Sufficiency,507.32,75.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Food Security,357.32,84.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Ecosystem & Environmental Stability,338.91,58.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Human Security,197.68,55.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Sustainable Energy,290.23,35.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Climate-Smart Industries and Services,142.2,72.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Knowledge & Capacity Development,83.09,85.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH050000000,V,Cross-Cutting,41.66,87.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Water Sufficiency,596.09,72.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Food Security,486.08,78.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Ecosystem & Environmental Stability,341.89,74.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Human Security,308.05,60.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Sustainable Energy,299.03,32.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Climate-Smart Industries and Services,126.9,58.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Knowledge & Capacity Development,100.39,76.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH060000000,VI,Cross-Cutting,62.68,68.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Water Sufficiency,509.47,86.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Food Security,347.11,78.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Ecosystem & Environmental Stability,423.28,71.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Human Security,271.67,76.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Sustainable Energy,263.0,42.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Climate-Smart Industries and Services,192.31,82.3,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Knowledge & Capacity Development,96.29,76.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH070000000,VII,Cross-Cutting,59.48,81.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Water Sufficiency,296.03,77.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Food Security,248.5,60.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Ecosystem & Environmental Stability,198.58,72.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Human Security,189.69,71.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Sustainable Energy,176.47,46.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Climate-Smart Industries and Services,116.82,68.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Knowledge & Capacity Development,48.33,59.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH080000000,VIII,Cross-Cutting,30.37,82.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Water Sufficiency,344.92,80.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Food Security,196.99,66.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Ecosystem & Environmental Stability,228.63,65.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Human Security,120.26,61.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Sustainable Energy,178.81,43.9,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Climate-Smart Industries and Services,104.75,89.5,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Knowledge & Capacity Development,63.78,62.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH090000000,IX,Cross-Cutting,25.88,60.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Water Sufficiency,384.38,56.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Food Security,291.3,78.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Ecosystem & Environmental Stability,215.87,86.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Human Security,200.29,57.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Sustainable Energy,215.65,34.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Climate-Smart Industries and Services,83.12,72.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Knowledge & Capacity Development,72.09,55.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH100000000,X,Cross-Cutting,34.12,86.8,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Water Sufficiency,301.9,79.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Food Security,280.1,67.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Ecosystem & Environmental Stability,200.06,61.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Human Security,198.61,70.2,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Sustainable Energy,207.2,36.4,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Climate-Smart Industries and Services,127.04,67.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Knowledge & Capacity Development,77.37,69.0,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH110000000,XI,Cross-Cutting,42.6,74.1,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH120000000,XII,Water Sufficiency,380.22,78.7,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH120000000,XII,Food Security,293.72,75.6,Synthetic CCET-like PoC feed,SYNTHETIC
2023,PH120000000,XII,Ecosystem & Environmental Stability,176.26,61.9,Synthetic CCET-like PoC feed,SYNTHETIC
