record_id,year,region_code,region_name,facility,baseline_tco2e,reported_reduction_tco2e,net_tco2e,verification_status,source_office,data_status
VER-2021-036,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 36,24094.5,1776.2,22318.3,for clarification,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2021-037,2021,NCR,National Capital Region,Synthetic Facility 37,56139.8,6218.3,49921.5,submitted,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2021-038,2021,CAR,Cordillera Administrative Region,Synthetic Facility 38,53417,3284.4,50132.6,desk-checked,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2021-039,2021,R01,Ilocos Region,Synthetic Facility 39,81037.4,6246.9,74790.5,validated,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2021-040,2021,R02,Cagayan Valley,Synthetic Facility 40,51950.9,1636.5,50314.5,for clarification,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2021-041,2021,R03,Central Luzon,Synthetic Facility 41,85529.1,3479.6,82049.5,submitted,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2021-042,2021,R04A,CALABARZON,Synthetic Facility 42,19224.6,1192,18032.6,desk-checked,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2022-001,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 01,20755.9,2119.6,18636.4,submitted,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2022-002,2022,NCR,National Capital Region,Synthetic Facility 02,14967.2,1994.2,12973.1,desk-checked,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2022-003,2022,CAR,Cordillera Administrative Region,Synthetic Facility 03,4062.1,606.3,3455.8,validated,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2022-004,2022,R01,Ilocos Region,Synthetic Facility 04,59712.7,10109.1,49603.6,for clarification,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2022-005,2022,R02,Cagayan Valley,Synthetic Facility 05,1496.3,27.6,1468.7,submitted,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2022-006,2022,R03,Central Luzon,Synthetic Facility 06,20247.7,1288.4,18959.3,desk-checked,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2022-007,2022,R04A,CALABARZON,Synthetic Facility 07,60491.4,1774.5,58716.8,validated,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2022-008,2022,MIMAROPA,MIMAROPA Region,Synthetic Facility 08,22593.7,3918.9,18674.8,for clarification,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2022-009,2022,R05,Bicol Region,Synthetic Facility 09,9105.5,1071.7,8033.8,submitted,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2022-010,2022,R06,Western Visayas,Synthetic Facility 10,32106.4,2235.2,29871.2,desk-checked,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-011,2022,R07,Central Visayas,Synthetic Facility 11,71404,7655.4,63748.5,validated,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-012,2022,R08,Eastern Visayas,Synthetic Facility 12,60101.9,10109.5,49992.4,for clarification,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-013,2022,R09,Zamboanga Peninsula,Synthetic Facility 13,31605,5029.7,26575.3,submitted,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2022-014,2022,R10,Northern Mindanao,Synthetic Facility 14,3167.3,333.7,2833.6,desk-checked,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2022-015,2022,R11,Davao Region,Synthetic Facility 15,39175.9,1467.1,37708.8,validated,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2022-016,2022,R12,SOCCSKSARGEN,Synthetic Facility 16,19040,1161.9,17878.1,for clarification,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2022-017,2022,R13,Caraga,Synthetic Facility 17,52003.4,8634,43369.5,submitted,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2022-018,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 18,35245.6,3529.3,31716.3,desk-checked,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2022-019,2022,NCR,National Capital Region,Synthetic Facility 19,28581.3,5032.2,23549.1,validated,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2022-020,2022,CAR,Cordillera Administrative Region,Synthetic Facility 20,35460.7,5184.8,30275.9,for clarification,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2022-021,2022,R01,Ilocos Region,Synthetic Facility 21,89988.9,9536.6,80452.3,submitted,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2022-022,2022,R02,Cagayan Valley,Synthetic Facility 22,22700.7,1288.7,21412,desk-checked,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2022-023,2022,R03,Central Luzon,Synthetic Facility 23,9308.2,1031.2,8277,validated,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2022-024,2022,R04A,CALABARZON,Synthetic Facility 24,61949.7,5966.8,55983,for clarification,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2022-025,2022,MIMAROPA,MIMAROPA Region,Synthetic Facility 25,67420.6,6125.6,61295,submitted,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2022-026,2022,R05,Bicol Region,Synthetic Facility 26,40121,4736.2,35384.8,desk-checked,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2022-027,2022,R06,Western Visayas,Synthetic Facility 27,79696.7,7812,71884.7,validated,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-028,2022,R07,Central Visayas,Synthetic Facility 28,7672.5,646.7,7025.7,for clarification,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-029,2022,R08,Eastern Visayas,Synthetic Facility 29,36644,870.5,35773.5,submitted,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2022-030,2022,R09,Zamboanga Peninsula,Synthetic Facility 30,16472.2,2933.3,13538.9,desk-checked,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2022-031,2022,R10,Northern Mindanao,Synthetic Facility 31,75141.9,8618.2,66523.7,validated,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2022-032,2022,R11,Davao Region,Synthetic Facility 32,37322.3,1158.2,36164.1,for clarification,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2022-033,2022,R12,SOCCSKSARGEN,Synthetic Facility 33,26644.6,2272.3,24372.3,submitted,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2022-034,2022,R13,Caraga,Synthetic Facility 34,35126.9,4817.8,30309,desk-checked,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2022-035,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 35,22552,4057.2,18494.8,validated,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2022-036,2022,NCR,National Capital Region,Synthetic Facility 36,83331.3,8136.9,75194.4,for clarification,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2022-037,2022,CAR,Cordillera Administrative Region,Synthetic Facility 37,80307.8,5570.7,74737.1,submitted,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2022-038,2022,R01,Ilocos Region,Synthetic Facility 38,47729.7,7894.7,39835,desk-checked,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2022-039,2022,R02,Cagayan Valley,Synthetic Facility 39,29192.8,5162.2,24030.6,validated,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2022-040,2022,R03,Central Luzon,Synthetic Facility 40,23863.8,3691.7,20172.1,for clarification,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2022-041,2022,R04A,CALABARZON,Synthetic Facility 41,2527.5,332.6,2194.9,submitted,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2022-042,2022,MIMAROPA,MIMAROPA Region,Synthetic Facility 42,88274.3,6200.8,82073.5,desk-checked,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2023-001,2023,NCR,National Capital Region,Synthetic Facility 01,59386.2,8513.5,50872.7,submitted,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2023-002,2023,CAR,Cordillera Administrative Region,Synthetic Facility 02,31018.7,2757.9,28260.7,desk-checked,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2023-003,2023,R01,Ilocos Region,Synthetic Facility 03,86364.9,6129.4,80235.5,validated,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2023-004,2023,R02,Cagayan Valley,Synthetic Facility 04,39705.7,6795.9,32909.8,for clarification,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2023-005,2023,R03,Central Luzon,Synthetic Facility 05,28239.4,4736.1,23503.3,submitted,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2023-006,2023,R04A,CALABARZON,Synthetic Facility 06,78732,1600.3,77131.7,desk-checked,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2023-007,2023,MIMAROPA,MIMAROPA Region,Synthetic Facility 07,16574.7,2127.7,14447,validated,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2023-008,2023,R05,Bicol Region,Synthetic Facility 08,69351.8,2513.2,66838.6,for clarification,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2023-009,2023,R06,Western Visayas,Synthetic Facility 09,89279.2,8043.3,81235.8,submitted,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-010,2023,R07,Central Visayas,Synthetic Facility 10,81778.4,4889.3,76889.1,desk-checked,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-011,2023,R08,Eastern Visayas,Synthetic Facility 11,72061.1,10862.5,61198.6,validated,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-012,2023,R09,Zamboanga Peninsula,Synthetic Facility 12,32845.2,2994.9,29850.3,for clarification,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2023-013,2023,R10,Northern Mindanao,Synthetic Facility 13,46175.1,6839.4,39335.8,submitted,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2023-014,2023,R11,Davao Region,Synthetic Facility 14,27157,1489,25668,desk-checked,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2023-015,2023,R12,SOCCSKSARGEN,Synthetic Facility 15,78671.3,6353.6,72317.7,validated,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2023-016,2023,R13,Caraga,Synthetic Facility 16,2563.8,422.5,2141.3,for clarification,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2023-017,2023,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 17,80319.1,6388.5,73930.6,submitted,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2023-018,2023,NCR,National Capital Region,Synthetic Facility 18,27441,2296.7,25144.4,desk-checked,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2023-019,2023,CAR,Cordillera Administrative Region,Synthetic Facility 19,41617.1,6379.3,35237.8,validated,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2023-020,2023,R01,Ilocos Region,Synthetic Facility 20,20106.1,3321.9,16784.1,for clarification,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2023-021,2023,R02,Cagayan Valley,Synthetic Facility 21,67591.9,1375.9,66216,submitted,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2023-022,2023,R03,Central Luzon,Synthetic Facility 22,21495.9,550.6,20945.2,desk-checked,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2023-023,2023,R04A,CALABARZON,Synthetic Facility 23,70151.1,7793.5,62357.6,validated,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2023-024,2023,MIMAROPA,MIMAROPA Region,Synthetic Facility 24,73809.6,9996.6,63813,for clarification,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2023-025,2023,R05,Bicol Region,Synthetic Facility 25,54442,8211,46231,submitted,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2023-026,2023,R06,Western Visayas,Synthetic Facility 26,74918.8,3931.5,70987.4,desk-checked,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-027,2023,R07,Central Visayas,Synthetic Facility 27,34579.4,2446.1,32133.3,validated,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-028,2023,R08,Eastern Visayas,Synthetic Facility 28,85445.3,3671.5,81773.8,for clarification,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2023-029,2023,R09,Zamboanga Peninsula,Synthetic Facility 29,57202.8,4955.9,52246.9,submitted,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2023-030,2023,R10,Northern Mindanao,Synthetic Facility 30,8695.4,668.4,8027,desk-checked,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2023-031,2023,R11,Davao Region,Synthetic Facility 31,27358.1,2225.1,25132.9,validated,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2023-032,2023,R12,SOCCSKSARGEN,Synthetic Facility 32,4853.4,697,4156.3,for clarification,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2023-033,2023,R13,Caraga,Synthetic Facility 33,69167.3,3377.3,65790,submitted,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2023-034,2023,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 34,5484.9,695,4789.9,desk-checked,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2023-035,2023,NCR,National Capital Region,Synthetic Facility 35,39855.7,4257.3,35598.4,validated,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2023-036,2023,CAR,Cordillera Administrative Region,Synthetic Facility 36,58718.2,2602.4,56115.8,for clarification,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2023-037,2023,R01,Ilocos Region,Synthetic Facility 37,14154.9,1653.1,12501.8,submitted,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2023-038,2023,R02,Cagayan Valley,Synthetic Facility 38,65266.9,2279.1,62987.8,desk-checked,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2023-039,2023,R03,Central Luzon,Synthetic Facility 39,16849.1,2644.3,14204.9,validated,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2023-040,2023,R04A,CALABARZON,Synthetic Facility 40,24811.2,1491.9,23319.3,for clarification,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2023-041,2023,MIMAROPA,MIMAROPA Region,Synthetic Facility 41,48055.1,7932.7,40122.4,submitted,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2023-042,2023,R05,Bicol Region,Synthetic Facility 42,75981.9,11671.1,64310.9,desk-checked,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2024-001,2024,CAR,Cordillera Administrative Region,Synthetic Facility 01,12323.7,1796.2,10527.5,submitted,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2024-002,2024,R01,Ilocos Region,Synthetic Facility 02,22309.7,230.1,22079.6,desk-checked,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2024-003,2024,R02,Cagayan Valley,Synthetic Facility 03,41108.8,4616,36492.8,validated,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2024-004,2024,R03,Central Luzon,Synthetic Facility 04,82390.6,7496.5,74894.1,for clarification,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2024-005,2024,R04A,CALABARZON,Synthetic Facility 05,20402.8,3531,16871.8,submitted,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2024-006,2024,MIMAROPA,MIMAROPA Region,Synthetic Facility 06,41884.2,928.1,40956.1,desk-checked,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2024-007,2024,R05,Bicol Region,Synthetic Facility 07,78848.3,2356.4,76491.8,validated,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2024-008,2024,R06,Western Visayas,Synthetic Facility 08,84081.2,4287.2,79794,for clarification,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-009,2024,R07,Central Visayas,Synthetic Facility 09,10566.3,1306.4,9259.9,submitted,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-010,2024,R08,Eastern Visayas,Synthetic Facility 10,24852,3116.1,21735.9,desk-checked,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-011,2024,R09,Zamboanga Peninsula,Synthetic Facility 11,66386.2,6213.3,60172.8,validated,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2024-012,2024,R10,Northern Mindanao,Synthetic Facility 12,11369.3,114.1,11255.2,for clarification,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2024-013,2024,R11,Davao Region,Synthetic Facility 13,24031.7,3453.2,20578.4,submitted,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2024-014,2024,R12,SOCCSKSARGEN,Synthetic Facility 14,70441.9,1698.6,68743.3,desk-checked,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2024-015,2024,R13,Caraga,Synthetic Facility 15,45261.9,1094.7,44167.2,validated,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2024-016,2024,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 16,52986.1,3021.6,49964.5,for clarification,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2024-017,2024,NCR,National Capital Region,Synthetic Facility 17,40642.8,582.6,40060.2,submitted,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2024-018,2024,CAR,Cordillera Administrative Region,Synthetic Facility 18,22007.2,3427.4,18579.7,desk-checked,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2024-019,2024,R01,Ilocos Region,Synthetic Facility 19,14087,1568.6,12518.4,validated,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2024-020,2024,R02,Cagayan Valley,Synthetic Facility 20,15767.2,1892.5,13874.7,for clarification,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2024-021,2024,R03,Central Luzon,Synthetic Facility 21,15566.5,392.3,15174.1,submitted,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2024-022,2024,R04A,CALABARZON,Synthetic Facility 22,5257.7,656.5,4601.2,desk-checked,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2024-023,2024,MIMAROPA,MIMAROPA Region,Synthetic Facility 23,9360.2,1484.4,7875.7,validated,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2024-024,2024,R05,Bicol Region,Synthetic Facility 24,20808.3,546.1,20262.2,for clarification,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2024-025,2024,R06,Western Visayas,Synthetic Facility 25,79253.2,14141.4,65111.8,submitted,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-026,2024,R07,Central Visayas,Synthetic Facility 26,47791.9,1581,46210.9,desk-checked,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-027,2024,R08,Eastern Visayas,Synthetic Facility 27,8995.5,975.5,8020.1,validated,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2024-028,2024,R09,Zamboanga Peninsula,Synthetic Facility 28,40729.1,2472.7,38256.3,for clarification,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2024-029,2024,R10,Northern Mindanao,Synthetic Facility 29,67026,11128.4,55897.7,submitted,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2024-030,2024,R11,Davao Region,Synthetic Facility 30,51656.2,8563.5,43092.7,desk-checked,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2024-031,2024,R12,SOCCSKSARGEN,Synthetic Facility 31,86303.6,5092.7,81211,validated,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2024-032,2024,R13,Caraga,Synthetic Facility 32,79735.3,8940.9,70794.5,for clarification,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2024-033,2024,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 33,62965.9,5836.8,57129.2,submitted,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2024-034,2024,NCR,National Capital Region,Synthetic Facility 34,4264.7,584.2,3680.5,desk-checked,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2024-035,2024,CAR,Cordillera Administrative Region,Synthetic Facility 35,42693,2957.3,39735.7,validated,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2024-036,2024,R01,Ilocos Region,Synthetic Facility 36,21613.8,3556.2,18057.6,for clarification,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
